condition,layer,k,branch,chain,level,pr
refinement,0,6,deflate_top6,emergency_vehicle,1,5.013988739729518
refinement,0,6,deflate_top6,emergency_vehicle,2,5.307590667002175
refinement,0,6,deflate_top6,emergency_vehicle,3,5.6118666367156775
refinement,0,6,deflate_top6,emergency_vehicle,4,5.584280080946815
refinement,0,6,deflate_top6,employment_agreement,0,4.676301942364328
refinement,0,6,deflate_top6,employment_agreement,1,5.257581529352754
refinement,0,6,deflate_top6,employment_agreement,2,5.355973791137111
refinement,0,6,deflate_top6,employment_agreement,3,5.650227177019029
refinement,0,6,deflate_top6,employment_agreement,4,4.34544973982468
refinement,0,6,deflate_top6,forensic_hospital,0,5.794348460587876
refinement,0,6,deflate_top6,forensic_hospital,1,5.007270495559376
refinement,0,6,deflate_top6,forensic_hospital,2,5.756112091704016
refinement,0,6,deflate_top6,forensic_hospital,3,4.870426281394809
refinement,0,6,deflate_top6,forensic_hospital,4,5.260611052379833
refinement,0,6,deflate_top6,graph_database,0,5.383555055023176
refinement,0,6,deflate_top6,graph_database,1,5.380477413491655
refinement,0,6,deflate_top6,graph_database,2,5.069795364788304
refinement,0,6,deflate_top6,graph_database,3,4.91496102460869
refinement,0,6,deflate_top6,graph_database,4,5.141056866840113
refinement,0,6,deflate_top6,hiking_boot,0,5.143998237917846
refinement,0,6,deflate_top6,hiking_boot,1,3.753622935636358
refinement,0,6,deflate_top6,hiking_boot,2,5.318790369221078
refinement,0,6,deflate_top6,hiking_boot,3,5.708998745150546
refinement,0,6,deflate_top6,hiking_boot,4,4.899906982742922
refinement,0,6,deflate_top6,medical_consent,0,5.5688299389048375
refinement,0,6,deflate_top6,medical_consent,1,4.804880475105444
refinement,0,6,deflate_top6,medical_consent,2,5.627568956034302
refinement,0,6,deflate_top6,medical_consent,3,4.556911739934939
refinement,0,6,deflate_top6,medical_consent,4,4.8446432395648715
refinement,0,6,deflate_top6,refugee_shelter,0,5.5691639975434635
refinement,0,6,deflate_top6,refugee_shelter,1,5.215366468524606
refinement,0,6,deflate_top6,refugee_shelter,2,5.1766060338182545
refinement,0,6,deflate_top6,refugee_shelter,3,5.4849206733766644
refinement,0,6,deflate_top6,refugee_shelter,4,5.2825485190217005
refinement,0,6,deflate_top6,rescue_drone,0,5.569469267570049
refinement,0,6,deflate_top6,rescue_drone,1,5.409531278375767
refinement,0,6,deflate_top6,rescue_drone,2,5.770353818398459
refinement,0,6,deflate_top6,rescue_drone,3,5.7057092739334285
refinement,0,6,deflate_top6,rescue_drone,4,5.482092226805001
refinement,0,6,deflate_top6,research_university,0,5.1227709046033025
refinement,0,6,deflate_top6,research_university,1,5.563575162433544
refinement,0,6,deflate_top6,research_university,2,5.325110003008576
refinement,0,6,deflate_top6,research_university,3,5.770654337740057
refinement,0,6,deflate_top6,research_university,4,5.384670450059774
refinement,0,7,deflate_top7,apartment_building,0,4.773896860439292
refinement,0,7,deflate_top7,apartment_building,1,5.135722406976418
refinement,0,7,deflate_top7,apartment_building,2,5.84670345509421
refinement,0,7,deflate_top7,apartment_building,3,4.240665560584043
refinement,0,7,deflate_top7,apartment_building,4,4.331438210022847
refinement,0,7,deflate_top7,emergency_vehicle,0,5.786218806338067
refinement,0,7,deflate_top7,emergency_vehicle,1,5.044944614573454
refinement,0,7,deflate_top7,emergency_vehicle,2,5.280135458298541
refinement,0,7,deflate_top7,emergency_vehicle,3,5.6116422877060295
refinement,0,7,deflate_top7,emergency_vehicle,4,5.5985191781886305
refinement,0,7,deflate_top7,employment_agreement,0,4.697774234680828
refinement,0,7,deflate_top7,employment_agreement,1,5.274618174863273
refinement,0,7,deflate_top7,employment_agreement,2,5.346593286341169
refinement,0,7,deflate_top7,employment_agreement,3,5.629099437200011
refinement,0,7,deflate_top7,employment_agreement,4,4.299732897814858
refinement,0,7,deflate_top7,forensic_hospital,0,5.784065446989407
refinement,0,7,deflate_top7,forensic_hospital,1,4.96239587573803
refinement,0,7,deflate_top7,forensic_hospital,2,5.689769655714541
refinement,0,7,deflate_top7,forensic_hospital,3,4.796488813216821
refinement,0,7,deflate_top7,forensic_hospital,4,5.223099386658773
refinement,0,7,deflate_top7,graph_database,0,5.341010993365589
refinement,0,7,deflate_top7,graph_database,1,5.398575364530228
refinement,0,7,deflate_top7,graph_database,2,5.119949226080437
refinement,0,7,deflate_top7,graph_database,3,4.8890259041574655
refinement,0,7,deflate_top7,graph_database,4,5.1668495584172165
refinement,0,7,deflate_top7,hiking_boot,0,5.114768592723267
refinement,0,7,deflate_top7,hiking_boot,1,3.739120041404041
refinement,0,7,deflate_top7,hiking_boot,2,5.296541970874471
refinement,0,7,deflate_top7,hiking_boot,3,5.67803584386753
refinement,0,7,deflate_top7,hiking_boot,4,4.914884339553139
refinement,0,7,deflate_top7,medical_consent,0,5.521563074676559
refinement,0,7,deflate_top7,medical_consent,1,4.845862479021844
refinement,0,7,deflate_top7,medical_consent,2,5.5701643319001475
refinement,0,7,deflate_top7,medical_consent,3,4.5833361941844615
refinement,0,7,deflate_top7,medical_consent,4,4.84440570328632
refinement,0,7,deflate_top7,refugee_shelter,0,5.5117848895737
refinement,0,7,deflate_top7,refugee_shelter,1,5.197122390765365
refinement,0,7,deflate_top7,refugee_shelter,2,5.194901133336871
refinement,0,7,deflate_top7,refugee_shelter,3,5.490625937547088
refinement,0,7,deflate_top7,refugee_shelter,4,5.283421249981141
refinement,0,7,deflate_top7,rescue_drone,0,5.507272322631098
refinement,0,7,deflate_top7,rescue_drone,1,5.546765105730005
refinement,0,7,deflate_top7,rescue_drone,2,5.759189071136063
refinement,0,7,deflate_top7,rescue_drone,3,5.703337206812777
refinement,0,7,deflate_top7,rescue_drone,4,5.454114602190302
refinement,0,7,deflate_top7,research_university,0,5.091297603498862
refinement,0,7,deflate_top7,research_university,1,5.555961885274278
refinement,0,7,deflate_top7,research_university,2,5.418430748553402
refinement,0,7,deflate_top7,research_university,3,5.730752728129161
refinement,0,7,deflate_top7,research_university,4,5.3671904942582325
refinement,0,8,deflate_top8,apartment_building,0,4.768052451597539
refinement,0,8,deflate_top8,apartment_building,1,5.104891019764135
refinement,0,8,deflate_top8,apartment_building,2,5.8575233933332616
refinement,0,8,deflate_top8,apartment_building,3,4.277396180930666
refinement,0,8,deflate_top8,apartment_building,4,4.367417980580075
refinement,0,8,deflate_top8,emergency_vehicle,0,5.779566791369822
refinement,0,8,deflate_top8,emergency_vehicle,1,5.031848151730566
refinement,0,8,deflate_top8,emergency_vehicle,2,5.275093334071712
refinement,0,8,deflate_top8,emergency_vehicle,3,5.669750405044504
refinement,0,8,deflate_top8,emergency_vehicle,4,5.595305681172554
refinement,0,8,deflate_top8,employment_agreement,0,4.694229787820904
refinement,0,8,deflate_top8,employment_agreement,1,5.298952420379156
refinement,0,8,deflate_top8,employment_agreement,2,5.340525134273257
refinement,0,8,deflate_top8,employment_agreement,3,5.599262212839129
refinement,0,8,deflate_top8,employment_agreement,4,4.326023742266195
refinement,0,8,deflate_top8,forensic_hospital,0,5.776111745152256
refinement,0,8,deflate_top8,forensic_hospital,1,4.976882020351219
refinement,0,8,deflate_top8,forensic_hospital,2,5.679218349187521
refinement,0,8,deflate_top8,forensic_hospital,3,4.851659231716938
refinement,0,8,deflate_top8,forensic_hospital,4,5.248599643809557
refinement,0,8,deflate_top8,graph_database,0,5.343114074078428
refinement,0,8,deflate_top8,graph_database,1,5.3875726268095505
refinement,0,8,deflate_top8,graph_database,2,5.110452041612294
refinement,0,8,deflate_top8,graph_database,3,4.895905868487103
refinement,0,8,deflate_top8,graph_database,4,5.185862036964909
refinement,0,8,deflate_top8,hiking_boot,0,5.120165367640878
refinement,0,8,deflate_top8,hiking_boot,1,3.7255526949231665
refinement,0,8,deflate_top8,hiking_boot,2,5.2877275654485185
refinement,0,8,deflate_top8,hiking_boot,3,5.6728313670989134
refinement,0,8,deflate_top8,hiking_boot,4,4.896863918455342
refinement,0,8,deflate_top8,medical_consent,0,5.5188304807878135
refinement,0,8,deflate_top8,medical_consent,1,4.836750661696864
refinement,0,8,deflate_top8,medical_consent,2,5.542496270794242
refinement,0,8,deflate_top8,medical_consent,3,4.574850772577373
refinement,0,8,deflate_top8,medical_consent,4,4.842845130776153
refinement,0,8,deflate_top8,refugee_shelter,0,5.496804485518522
refinement,0,8,deflate_top8,refugee_shelter,1,5.173957783360541
refinement,0,8,deflate_top8,refugee_shelter,2,5.2385283746681335
refinement,0,8,deflate_top8,refugee_shelter,3,5.514968174340242
refinement,0,8,deflate_top8,refugee_shelter,4,5.315048034806375
refinement,0,8,deflate_top8,rescue_drone,0,5.503472147049108
refinement,0,8,deflate_top8,rescue_drone,1,5.554294735774254
