condition,layer,category,mean_mahalanobis,mean_l2,pair_count
top3_deflation,1,same_domain_diff_language,15.80801010131836,9.334803581237793,77760
top3_deflation,1,same_domain_same_language,15.008393287658691,8.403761863708496,19584
top3_deflation,1,different_topic_diff_language,15.825902938842773,9.414446830749512,518400
top3_deflation,1,different_topic_same_language,15.929298400878906,9.121251106262207,130560
top3_deflation,2,exact_translation_diff_language,15.571516990661621,11.51712703704834,2400
top3_deflation,2,same_factor_diff_language,15.738101959228516,11.726066589355469,25920
top3_deflation,2,same_factor_same_language,13.363224029541016,9.436859130859375,5904
top3_deflation,2,same_domain_diff_language,15.838558197021484,11.813823699951172,77760
top3_deflation,2,same_domain_same_language,14.976763725280762,10.189351081848145,19584
top3_deflation,2,different_topic_diff_language,15.846607208251953,11.901437759399414,518400
top3_deflation,2,different_topic_same_language,15.89462947845459,11.02846622467041,130560
top3_deflation,3,exact_translation_diff_language,15.528066635131836,12.22567081451416,2400
top3_deflation,3,same_factor_diff_language,15.731773376464844,12.427726745605469,25920
top3_deflation,3,same_factor_same_language,13.331979751586914,9.956846237182617,5904
top3_deflation,3,same_domain_diff_language,15.851784706115723,12.524080276489258,77760
top3_deflation,3,same_domain_same_language,14.963420867919922,10.752169609069824,19584
top3_deflation,3,different_topic_diff_language,15.854951858520508,12.611592292785645,518400
top3_deflation,3,different_topic_same_language,15.91474437713623,11.612630844116211,130560
top3_deflation,4,exact_translation_diff_language,15.40274715423584,13.206335067749023,2400
top3_deflation,4,same_factor_diff_language,15.70202922821045,13.504197120666504,25920
top3_deflation,4,same_factor_same_language,13.327646255493164,10.96642780303955,5904
top3_deflation,4,same_domain_diff_language,15.85506534576416,13.641870498657227,77760
top3_deflation,4,same_domain_same_language,14.973071098327637,11.841682434082031,19584
top3_deflation,4,different_topic_diff_language,15.858986854553223,13.769708633422852,518400
top3_deflation,4,different_topic_same_language,15.930688858032227,12.783452033996582,130560
top3_deflation,5,exact_translation_diff_language,15.227547645568848,13.952104568481445,2400
top3_deflation,5,same_factor_diff_language,15.660599708557129,14.408890724182129,25920
top3_deflation,5,same_factor_same_language,13.393877983093262,11.835460662841797,5904
top3_deflation,5,same_domain_diff_language,15.861274719238281,14.63786506652832,77760
top3_deflation,5,same_domain_same_language,14.975196838378906,12.829703330993652,19584
top3_deflation,5,different_topic_diff_language,15.86526870727539,14.88707447052002,518400
top3_deflation,5,different_topic_same_language,15.94532585144043,13.945294380187988,130560
top3_deflation,6,exact_translation_diff_language,15.029248237609863,15.469160079956055,2400
top3_deflation,6,same_factor_diff_language,15.624042510986328,16.16755485534668,25920
top3_deflation,6,same_factor_same_language,13.468046188354492,13.393948554992676,5904
top3_deflation,6,same_domain_diff_language,15.88176155090332,16.488143920898438,77760
top3_deflation,6,same_domain_same_language,15.008020401000977,14.493830680847168,19584
top3_deflation,6,different_topic_diff_language,15.885787963867188,16.84817886352539,518400
top3_deflation,6,different_topic_same_language,15.968117713928223,15.776741981506348,130560
top3_deflation,7,exact_translation_diff_language,14.867109298706055,16.21504020690918,2400
top3_deflation,7,same_factor_diff_language,15.572823524475098,17.044292449951172,25920
top3_deflation,7,same_factor_same_language,13.492511749267578,14.265928268432617,5904
top3_deflation,7,same_domain_diff_language,15.875107765197754,17.442209243774414,77760
top3_deflation,7,same_domain_same_language,15.006842613220215,15.44424057006836,19584
top3_deflation,7,different_topic_diff_language,15.878358840942383,17.87346839904785,518400
top3_deflation,7,different_topic_same_language,15.969056129455566,16.81742286682129,130560
top3_deflation,8,exact_translation_diff_language,14.746777534484863,16.857707977294922,2400
top3_deflation,8,same_factor_diff_language,15.527867317199707,17.822288513183594,25920
top3_deflation,8,same_factor_same_language,13.540497779846191,14.834089279174805,5904
top3_deflation,8,same_domain_diff_language,15.873844146728516,18.27754020690918,77760
top3_deflation,8,same_domain_same_language,15.016409873962402,16.047117233276367,19584
top3_deflation,8,different_topic_diff_language,15.877272605895996,18.781497955322266,518400
top3_deflation,8,different_topic_same_language,15.976263046264648,17.50418472290039,130560
top3_deflation,9,exact_translation_diff_language,14.615947723388672,17.418418884277344,2400
top3_deflation,9,same_factor_diff_language,15.500361442565918,18.59356117248535,25920
top3_deflation,9,same_factor_same_language,13.60495662689209,15.7225341796875,5904
top3_deflation,9,same_domain_diff_language,15.882957458496094,19.11886215209961,77760
top3_deflation,9,same_domain_same_language,15.029268264770508,16.951148986816406,19584
top3_deflation,9,different_topic_diff_language,15.885615348815918,19.69872283935547,518400
top3_deflation,9,different_topic_same_language,15.98386001586914,18.489543914794922,130560
top3_deflation,10,exact_translation_diff_language,14.469975471496582,17.67575454711914,2400
top3_deflation,10,same_factor_diff_language,15.474596977233887,19.02034568786621,25920
top3_deflation,10,same_factor_same_language,13.66222858428955,16.2674560546875,5904
top3_deflation,10,same_domain_diff_language,15.884650230407715,19.61907196044922,77760
top3_deflation,10,same_domain_same_language,15.045258522033691,17.536270141601562,19584
top3_deflation,10,different_topic_diff_language,15.889985084533691,20.255643844604492,518400
top3_deflation,10,different_topic_same_language,15.989389419555664,19.120223999023438,130560
top3_deflation,11,exact_translation_diff_language,14.351263046264648,18.249828338623047,2400
top3_deflation,11,same_factor_diff_language,15.455187797546387,19.792001724243164,25920
top3_deflation,11,same_factor_same_language,13.723881721496582,17.082237243652344,5904
top3_deflation,11,same_domain_diff_language,15.891541481018066,20.488889694213867,77760
top3_deflation,11,same_domain_same_language,15.073162078857422,18.432621002197266,19584
top3_deflation,11,different_topic_diff_language,15.898459434509277,21.24825096130371,518400
top3_deflation,11,different_topic_same_language,15.999674797058105,20.15862274169922,130560
top3_deflation,12,exact_translation_diff_language,14.328186988830566,18.404294967651367,2400
top3_deflation,12,same_factor_diff_language,15.448959350585938,19.945932388305664,25920
top3_deflation,12,same_factor_same_language,13.712522506713867,17.179954528808594,5904
top3_deflation,12,same_domain_diff_language,15.895249366760254,20.641324996948242,77760
top3_deflation,12,same_domain_same_language,15.087852478027344,18.560407638549805,19584
top3_deflation,12,different_topic_diff_language,15.902013778686523,21.393949508666992,518400
top3_deflation,12,different_topic_same_language,16.00005340576172,20.287761688232422,130560
top3_deflation,13,exact_translation_diff_language,14.263388633728027,19.109222412109375,2400
top3_deflation,13,same_factor_diff_language,15.442005157470703,20.789339065551758,25920
top3_deflation,13,same_factor_same_language,13.706594467163086,18.006776809692383,5904
top3_deflation,13,same_domain_diff_language,15.90450382232666,21.60837745666504,77760
top3_deflation,13,same_domain_same_language,15.108502388000488,19.602481842041016,19584
top3_deflation,13,different_topic_diff_language,15.907703399658203,22.476139068603516,518400
top3_deflation,13,different_topic_same_language,16.003677368164062,21.491397857666016,130560
top3_deflation,14,exact_translation_diff_language,14.248251914978027,20.4821834564209,2400
top3_deflation,14,same_factor_diff_language,15.425890922546387,22.223209381103516,25920
top3_deflation,14,same_factor_same_language,13.70217514038086,18.737565994262695,5904
top3_deflation,14,same_domain_diff_language,15.899588584899902,23.07727813720703,77760
top3_deflation,14,same_domain_same_language,15.105949401855469,20.42816162109375,19584
top3_deflation,14,different_topic_diff_language,15.902191162109375,24.031278610229492,518400
top3_deflation,14,different_topic_same_language,16.002635955810547,22.49984359741211,130560
top3_deflation,15,exact_translation_diff_language,14.25580883026123,21.558603286743164,2400
top3_deflation,15,same_factor_diff_language,15.42854118347168,23.429576873779297,25920
top3_deflation,15,same_factor_same_language,13.695093154907227,19.784801483154297,5904
top3_deflation,15,same_domain_diff_language,15.894624710083008,24.346721649169922,77760
top3_deflation,15,same_domain_same_language,15.105393409729004,21.57579231262207,19584
top3_deflation,15,different_topic_diff_language,15.900609970092773,25.375539779663086,518400
top3_deflation,15,different_topic_same_language,16.006011962890625,23.788185119628906,130560
top3_deflation,16,exact_translation_diff_language,14.248083114624023,22.304609298706055,2400
top3_deflation,16,same_factor_diff_language,15.425522804260254,24.25420570373535,25920
top3_deflation,16,same_factor_same_language,13.686846733093262,20.56512451171875,5904
top3_deflation,16,same_domain_diff_language,15.888625144958496,25.207168579101562,77760
top3_deflation,16,same_domain_same_language,15.098151206970215,22.432621002197266,19584
top3_deflation,16,different_topic_diff_language,15.893594741821289,26.240238189697266,518400
top3_deflation,16,different_topic_same_language,16.003183364868164,24.70626449584961,130560
top3_deflation,17,exact_translation_diff_language,14.222610473632812,24.485761642456055,2400
top3_deflation,17,same_factor_diff_language,15.419350624084473,26.6312313079834,25920
top3_deflation,17,same_factor_same_language,13.690642356872559,21.91988754272461,5904
top3_deflation,17,same_domain_diff_language,15.885080337524414,27.73227882385254,77760
top3_deflation,17,same_domain_same_language,15.09179401397705,24.000280380249023,19584
top3_deflation,17,different_topic_diff_language,15.889181137084961,29.01641845703125,518400
top3_deflation,17,different_topic_same_language,16.009281158447266,26.691598892211914,130560
top3_deflation,18,exact_translation_diff_language,14.238927841186523,26.561786651611328,2400
top3_deflation,18,same_factor_diff_language,15.428235054016113,28.600692749023438,25920
top3_deflation,18,same_factor_same_language,13.669167518615723,23.149648666381836,5904
top3_deflation,18,same_domain_diff_language,15.887360572814941,29.73674774169922,77760
top3_deflation,18,same_domain_same_language,15.072275161743164,25.418296813964844,19584
top3_deflation,18,different_topic_diff_language,15.883932113647461,30.94485855102539,518400
top3_deflation,18,different_topic_same_language,15.99606704711914,28.19338035583496,130560
top3_deflation,19,exact_translation_diff_language,14.29044246673584,28.87393569946289,2400
top3_deflation,19,same_factor_diff_language,15.448676109313965,30.97333335876465,25920
top3_deflation,19,same_factor_same_language,13.667963027954102,24.80370330810547,5904
top3_deflation,19,same_domain_diff_language,15.889070510864258,32.24951171875,77760
top3_deflation,19,same_domain_same_language,15.045557022094727,27.361400604248047,19584
top3_deflation,19,different_topic_diff_language,15.8819580078125,33.558414459228516,518400
top3_deflation,19,different_topic_same_language,15.996779441833496,30.417131423950195,130560
top3_deflation,20,exact_translation_diff_language,14.322174072265625,30.30748748779297,2400
top3_deflation,20,same_factor_diff_language,15.45019245147705,32.73937225341797,25920
top3_deflation,20,same_factor_same_language,13.656898498535156,26.16423797607422,5904
top3_deflation,20,same_domain_diff_language,15.879776000976562,34.01983642578125,77760
top3_deflation,20,same_domain_same_language,15.024388313293457,28.776472091674805,19584
top3_deflation,20,different_topic_diff_language,15.8719482421875,35.41815948486328,518400
top3_deflation,20,different_topic_same_language,16.004253387451172,32.067413330078125,130560
top3_deflation,21,exact_translation_diff_language,14.326091766357422,32.16501998901367,2400
top3_deflation,21,same_factor_diff_language,15.45002555847168,34.705848693847656,25920
top3_deflation,21,same_factor_same_language,13.652005195617676,27.673917770385742,5904
top3_deflation,21,same_domain_diff_language,15.873724937438965,36.02960205078125,77760
top3_deflation,21,same_domain_same_language,14.9955415725708,30.40313148498535,19584
top3_deflation,21,different_topic_diff_language,15.862839698791504,37.433921813964844,518400
top3_deflation,21,different_topic_same_language,15.999184608459473,33.82879638671875,130560
top3_deflation,22,exact_translation_diff_language,14.350650787353516,35.247501373291016,2400
top3_deflation,22,same_factor_diff_language,15.454293251037598,38.18913650512695,25920
top3_deflation,22,same_factor_same_language,13.670144081115723,29.884023666381836,5904
top3_deflation,22,same_domain_diff_language,15.864723205566406,39.55107498168945,77760
top3_deflation,22,same_domain_same_language,14.993595123291016,32.68108367919922,19584
top3_deflation,22,different_topic_diff_language,15.855706214904785,41.11079406738281,518400
top3_deflation,22,different_topic_same_language,16.005653381347656,36.4785041809082,130560
top3_deflation,23,exact_translation_diff_language,14.370768547058105,37.5638313293457,2400
top3_deflation,23,same_factor_diff_language,15.4603910446167,40.6811637878418,25920
top3_deflation,23,same_factor_same_language,13.656502723693848,31.638181686401367,5904
top3_deflation,23,same_domain_diff_language,15.85895824432373,42.152732849121094,77760
top3_deflation,23,same_domain_same_language,14.967500686645508,34.69161605834961,19584
top3_deflation,23,different_topic_diff_language,15.84739875793457,43.84675979614258,518400
top3_deflation,23,different_topic_same_language,16.00113296508789,38.862548828125,130560
top3_deflation,24,exact_translation_diff_language,14.383644104003906,39.33045196533203,2400
top3_deflation,24,same_factor_diff_language,15.464428901672363,42.73326110839844,25920
top3_deflation,24,same_factor_same_language,13.66115951538086,33.46968460083008,5904
top3_deflation,24,same_domain_diff_language,15.847829818725586,44.28813552856445,77760
top3_deflation,24,same_domain_same_language,14.944846153259277,36.67490768432617,19584
top3_deflation,24,different_topic_diff_language,15.836835861206055,46.102508544921875,518400
top3_deflation,24,different_topic_same_language,15.992514610290527,41.16328430175781,130560
top3_deflation,25,exact_translation_diff_language,14.41695785522461,41.4522819519043,2400
top3_deflation,25,same_factor_diff_language,15.466615676879883,45.03273010253906,25920
top3_deflation,25,same_factor_same_language,13.648591041564941,35.10502243041992,5904
top3_deflation,25,same_domain_diff_language,15.835485458374023,46.61955642700195,77760
top3_deflation,25,same_domain_same_language,14.908785820007324,38.44313430786133,19584
top3_deflation,25,different_topic_diff_language,15.823200225830078,48.48570251464844,518400
top3_deflation,25,different_topic_same_language,15.981088638305664,43.19015121459961,130560
top3_deflation,26,exact_translation_diff_language,14.4443998336792,42.92279052734375,2400
top3_deflation,26,same_factor_diff_language,15.464710235595703,46.62255859375,25920
top3_deflation,26,same_factor_same_language,13.620543479919434,36.42127227783203,5904
top3_deflation,26,same_domain_diff_language,15.824141502380371,48.21196746826172,77760
top3_deflation,26,same_domain_same_language,14.871868133544922,39.83766555786133,19584
top3_deflation,26,different_topic_diff_language,15.809593200683594,50.08209228515625,518400
top3_deflation,26,different_topic_same_language,15.970202445983887,44.75089645385742,130560
top3_deflation,27,exact_translation_diff_language,14.475507736206055,44.09284591674805,2400
top3_deflation,27,same_factor_diff_language,15.46966552734375,47.809776306152344,25920
top3_deflation,27,same_factor_same_language,13.597229957580566,37.28764343261719,5904
top3_deflation,27,same_domain_diff_language,15.816514015197754,49.36460876464844,77760
top3_deflation,27,same_domain_same_language,14.843181610107422,40.741455078125,19584
top3_deflation,27,different_topic_diff_language,15.801206588745117,51.22388458251953,518400
top3_deflation,27,different_topic_same_language,15.959799766540527,45.766075134277344,130560
top3_deflation,28,exact_translation_diff_language,14.508639335632324,45.980857849121094,2400
top3_deflation,28,same_factor_diff_language,15.47265625,49.72221374511719,25920
top3_deflation,28,same_factor_same_language,13.590620040893555,38.40302658081055,5904
top3_deflation,28,same_domain_diff_language,15.80732250213623,51.25735855102539,77760
top3_deflation,28,same_domain_same_language,14.825704574584961,41.92679977416992,19584
