condition,layer,category,mean_cosine,mean_l2,pair_count
language_residualized,18,same_factor_same_language,0.20077204704284668,61.43424606323242,5904
language_residualized,18,same_domain_diff_language,0.1408570408821106,62.47011947631836,77760
language_residualized,18,same_domain_same_language,0.17260468006134033,61.26398468017578,19584
language_residualized,18,different_topic_diff_language,0.02173418551683426,68.64688110351562,518400
language_residualized,18,different_topic_same_language,0.016595400869846344,69.00105285644531,130560
top5_deflation,18,exact_translation_diff_language,0.2959728240966797,22.72978401184082,2400
top5_deflation,18,same_factor_diff_language,0.16504821181297302,24.976673126220703,25920
top5_deflation,18,same_factor_same_language,0.29012221097946167,22.981351852416992,5904
top5_deflation,18,same_domain_diff_language,0.07585901021957397,26.274768829345703,77760
top5_deflation,18,same_domain_same_language,0.14006856083869934,25.2683048248291,19584
top5_deflation,18,different_topic_diff_language,-0.01983865723013878,27.62105369567871,518400
top5_deflation,18,different_topic_same_language,-0.03753754124045372,28.026872634887695,130560
raw,19,exact_translation_diff_language,0.9790357351303101,77.45994567871094,2400
raw,19,same_factor_diff_language,0.9763599038124084,90.41053009033203,25920
raw,19,same_factor_same_language,0.9905160665512085,61.57680892944336,5904
raw,19,same_domain_diff_language,0.9752030372619629,91.7042465209961,77760
raw,19,same_domain_same_language,0.9887984395027161,61.73046112060547,19584
raw,19,different_topic_diff_language,0.9736748337745667,96.25184631347656,518400
raw,19,different_topic_same_language,0.9863027930259705,69.58924102783203,130560
language_residualized,19,exact_translation_diff_language,0.5849046111106873,36.70657730102539,2400
language_residualized,19,same_factor_diff_language,0.19557784497737885,60.8824348449707,25920
language_residualized,19,same_factor_same_language,0.20905181765556335,61.57680892944336,5904
language_residualized,19,same_domain_diff_language,0.1397905796766281,63.0098876953125,77760
language_residualized,19,same_domain_same_language,0.17360863089561462,61.73046875,19584
language_residualized,19,different_topic_diff_language,0.01743340492248535,69.19550323486328,518400
language_residualized,19,different_topic_same_language,0.01162839774042368,69.58924102783203,130560
top5_deflation,19,exact_translation_diff_language,0.29789674282073975,24.53079605102539,2400
top5_deflation,19,same_factor_diff_language,0.16933201253414154,26.904010772705078,25920
top5_deflation,19,same_factor_same_language,0.297270804643631,24.65566062927246,5904
top5_deflation,19,same_domain_diff_language,0.07724329829216003,28.359439849853516,77760
top5_deflation,19,same_domain_same_language,0.14395655691623688,27.227928161621094,19584
top5_deflation,19,different_topic_diff_language,-0.020257947966456413,29.83255958557129,518400
top5_deflation,19,different_topic_same_language,-0.03844320401549339,30.2759952545166,130560
raw,20,exact_translation_diff_language,0.9777466654777527,78.74566650390625,2400
